"For: Sri Lanka"

"Date Of Sale",Store,"Country Of Sale",Label,"Release Title","Release Artist","Track Title","Track Artist(s)",Barcode,"Catalogue Number",ISRC,Quantity
01/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
02/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,3
04/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,2
05/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
03/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,4
06/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
18/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
04/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,2
07/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
19/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
08/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,3
05/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
20/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,3
09/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,2
21/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,5
06/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
10/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,3
22/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,2
07/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,2
23/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
12/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
24/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,4
13/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,5
13/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
12/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
14/04/2025,Spotify,"Sri Lanka","Sound Factor / MGD Music Entertainment","Tumi Asa Babei","Deeplina Deka & Dipankar Das","Tumi Asa Babei","Deeplina Deka & Dipankar Das",3614768143319,,GB-LLT-25-07346,0
14/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,8
